policy,seed,err_rate,rounds_to_target,cum_time,final_gain,final_regret
thompson,32,0.089751,30,191.555556,3.522411,3.507359
thompson,33,0.106698,48,138.000000,2.984443,3.846853
thompson,34,0.101298,29,212.888889,3.945479,3.053912
thompson,35,0.086515,46,130.666667,2.957798,3.943169
thompson,36,0.126617,32,224.444444,4.148123,2.812263
thompson,37,0.095214,31,189.777778,3.487552,3.492947
thompson,38,0.147537,28,250.666667,5.284829,1.745310
thompson,39,0.101207,29,190.444444,3.547997,3.288502
thompson,40,0.072679,37,157.555556,3.240064,3.745921
thompson,41,0.098069,41,152.222222,3.000228,3.995328
thompson,42,0.082030,31,192.888889,3.574663,3.444208
thompson,43,0.098330,29,220.222222,4.152719,2.868869
thompson,44,0.094004,34,186.444444,3.760684,3.269278
thompson,45,0.080285,44,134.444444,3.018680,3.974894
thompson,46,0.078382,36,160.000000,3.163279,3.835667
thompson,47,0.149350,33,247.555556,5.201487,1.802025
thompson,48,0.127587,42,201.111111,4.215715,2.767844
thompson,49,0.175564,40,217.555556,4.837364,2.163270
thompson,50,0.091114,47,131.333333,2.956483,3.938744
thompson,51,0.086130,45,131.333333,2.918407,3.980045
thompson,52,0.216288,33,269.333333,6.057127,0.938104
thompson,53,0.106078,38,207.333333,3.875655,3.122176
thompson,54,0.086289,42,164.000000,3.366823,3.660260
thompson,55,0.099512,45,152.666667,3.438761,3.478298
thompson,56,0.084719,46,134.444444,3.016779,3.920105
thompson,57,0.160903,46,180.888889,3.730093,3.214525
thompson,58,0.091666,34,164.222222,3.119920,3.794726
thompson,59,0.113921,42,185.555556,3.868120,3.068945
lipschitz-ucb,0,0.207061,31,251.111111,4.884107,2.138745
lipschitz-ucb,1,0.215742,32,251.333333,4.664042,2.359284
lipschitz-ucb,2,0.222983,32,250.888889,4.824449,2.206153
lipschitz-ucb,3,0.212339,38,244.222222,4.454151,2.567349
lipschitz-ucb,4,0.191708,27,251.777778,4.922806,2.104389
lipschitz-ucb,5,0.201525,25,253.333333,5.380692,1.623516
lipschitz-ucb,6,0.231440,36,245.777778,4.420251,2.578151
lipschitz-ucb,7,0.196005,26,257.111111,5.568157,1.459438
lipschitz-ucb,8,0.214882,28,253.555556,4.913005,2.108655
lipschitz-ucb,9,0.214475,32,250.222222,4.779746,2.233395
lipschitz-ucb,10,0.243724,31,253.111111,4.906545,2.025731
lipschitz-ucb,11,0.250686,33,261.111111,5.584049,1.440301
lipschitz-ucb,12,0.247044,32,252.000000,4.943436,1.983399
lipschitz-ucb,13,0.192493,26,251.555556,5.086701,1.925388
lipschitz-ucb,14,0.225345,32,251.555556,5.016824,1.985135
lipschitz-ucb,15,0.210897,32,248.666667,4.692441,2.332737
lipschitz-ucb,16,0.238882,33,252.222222,4.789640,2.195838
lipschitz-ucb,17,0.207604,26,253.555556,5.083255,1.932570
lipschitz-ucb,18,0.221624,33,249.333333,4.628865,2.390427
lipschitz-ucb,19,0.221729,32,252.444444,4.937086,2.089731
lipschitz-ucb,20,0.225899,29,248.666667,4.887293,2.104692
lipschitz-ucb,21,0.240947,32,255.111111,5.019262,1.971561
lipschitz-ucb,22,0.204344,27,250.666667,4.799985,2.214246
lipschitz-ucb,23,0.208872,29,252.000000,4.933109,2.093997
lipschitz-ucb,24,0.228560,32,250.666667,5.036710,1.953181
lipschitz-ucb,25,0.211437,29,251.777778,4.896935,2.122710
lipschitz-ucb,26,0.209416,29,252.666667,5.043758,1.978998
lipschitz-ucb,27,0.202991,28,249.333333,4.920742,2.079882
lipschitz-ucb,28,0.234845,32,250.000000,4.671031,2.307662
lipschitz-ucb,29,0.239316,29,254.000000,5.015250,1.935196
lipschitz-ucb,30,0.238642,31,252.666667,5.005527,1.980423
lipschitz-ucb,31,0.226765,36,250.000000,4.963389,2.005229
lipschitz-ucb,32,0.213346,28,254.444444,5.063225,1.965065
lipschitz-ucb,33,0.237727,39,249.333333,4.801870,2.191820
lipschitz-ucb,34,0.221730,28,252.222222,4.910932,2.114240
lipschitz-ucb,35,0.232049,33,254.222222,5.106908,1.868146
lipschitz-ucb,36,0.236598,32,252.000000,5.009100,1.977921
lipschitz-ucb,37,0.195790,29,248.666667,4.909729,2.111459
lipschitz-ucb,38,0.195844,27,252.666667,5.203449,1.823035
lipschitz-ucb,39,0.236189,34,252.222222,4.898747,2.100257
lipschitz-ucb,40,0.234930,35,250.222222,4.839174,2.163683
lipschitz-ucb,41,0.183354,25,248.888889,4.962244,2.057538
lipschitz-ucb,42,0.213374,26,257.555556,5.261157,1.761162
lipschitz-ucb,43,0.192030,27,253.555556,5.104367,1.915388
lipschitz-ucb,44,0.212346,27,254.444444,5.147991,1.858015
